Title,Date,URL,Website
Gobierno por falsos exonerados: Es fundamental que CDE inicie acciones para terminar con beneficios,26/10/2011,https://www.adnradio.cl/nacional/2011/10/26/gobierno-por-falsos-exonerados-es-fundamental-que-cde-inicie-acciones-para-terminar-con-beneficios-1568296.html,ADNRadio
Ministerio de Salud presentó antecedentes ante el CDE por daños del Hospital de Cañete,21/09/2011,https://www.adnradio.cl/nacional/2011/09/21/ministerio-de-salud-presento-antecedentes-ante-el-cde-por-danos-del-hospital-de-canete-1551021.html,ADNRadio
Minvu pidió al Consejo de Defensa del Estado que se querelle por Kodama,16/05/2011,https://www.adnradio.cl/politica/2011/05/16/minvu-pidio-al-consejo-de-defensa-del-estado-que-se-querelle-por-kodama-1473130.html,ADNRadio
CDE se querella contra seis funcionarios de Aduanas por delitos de corrupción,25/07/2023,https://www.adnradio.cl/nacional/2023/07/25/cde-se-querella-contra-seis-funcionarios-de-aduanas-por-delitos-de-corrupcion.html,ADNRadio
Justicia rechazó demanda del CDE contra Marco Enríquez-Ominami por presuntas irregularidades en campaña,20/09/2021,https://www.adnradio.cl/politica/2021/09/20/justicia-rechazo-demanda-del-cde-contra-marco-enriquez-ominami-por-presuntas-irregularidades-en-campana.html,ADNRadio
CASA 212: Revelan informes del CDE que responden a demanda de la familia de Felipe Camiroaga,30/04/2021,https://www.adnradio.cl/nacional/2021/04/30/casa-212-revelan-informes-del-cde-que-responden-a-demanda-de-la-familia-de-felipe-camiroaga.html,ADNRadio
CDE se querella contra funcionarias por desvío de fondos desde Subdirección de Archivos de la Dibam,09/02/2018,https://www.adnradio.cl/nacional/2018/02/09/cde-se-querella-contra-funcionarias-por-desvio-de-fondos-desde-subdireccion-de-archivos-de-la-dibam-3708766.html,ADNRadio
Cartel de las ampollas: CDE se querella por estafa contra tres laboratorios farmacéuticos chilenos,28/12/2017,https://www.adnradio.cl/nacional/2017/12/28/cartel-de-las-ampollas-cde-se-querella-por-estafa-contra-tres-laboratorios-farmaceuticos-chilenos-3675772.html,ADNRadio
CDE buscará anular la devolución de bienes a la familia Pinochet,28/06/2017,https://www.adnradio.cl/nacional/2017/06/28/cde-buscara-anular-la-devolucion-de-bienes-a-la-familia-pinochet-3505082.html,ADNRadio
CDE se querelló en contra del encargado de la reconstrucción del Teatro Municipal,12/02/2013,https://www.adnradio.cl/nacional/2013/02/12/cde-se-querello-en-contra-del-encargado-de-la-reconstruccion-del-teatro-municipal-1840766.html,ADNRadio
Consejo de Defensa del Estado anunció posible querella por el Caso Sobreprecios,24/10/2012,https://www.adnradio.cl/nacional/2012/10/24/consejo-de-defensa-del-estado-anuncio-posible-querella-por-el-caso-sobreprecios-1784676.html,ADNRadio
Formalizaron a ex funcionarios del Servicio de Salud Occidente acusados de corrupción,20/08/2012,https://www.adnradio.cl/nacional/2012/08/20/formalizaron-a-ex-funcionarios-del-servicio-de-salud-occidente-acusados-de-corrupcion-1746918.html,ADNRadio
Pidieron investigar denuncia de posible venta de base de datos de pensionados a La Polar,27/07/2011,https://www.adnradio.cl/economia/2011/07/27/pidieron-investigar-denuncia-de-posible-venta-de-base-de-datos-de-pensionados-a-la-polar-1516482.html,ADNRadio
